model,runs,passed_runs,pass_rate,rules_passed,rules_total,rule_pass_rate,stable_tasks,critical_failures,mean_score_5,median_score_5,latency_ms_p50,latency_ms_p95,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd
gpt-5.6-sol,36,36,1,177,180,0.9833333333333333,12,0,4.916666666666667,5,2681,6690,10872,0,0,5114,1560,0.20777999999999996
gpt-5.6-terra,36,35,0.9722222222222222,175,180,0.9722222222222222,12,0,4.861111111111111,5,2131,4514,10872,0,0,6134,2564,0.09535199999999998
gpt-5.6-luna,36,36,1,177,180,0.9833333333333333,12,0,4.916666666666667,5,2308,6031,10872,0,0,7607,4003,0.011302799999999998
